#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
00101   44.1918541   0.0   0.0002211   44.2768183   0.0   22.1113256   14.7408838   6.92e-05   44.0196117   0.0   0.0002204   44.1677133   0.0   
00102   44.6293972   0.0   0.0002233   44.7152026   0.0   22.3302497   14.8868331   6.99e-05   44.4554494   0.0   0.0002226   44.6050173   0.0   
00103   45.0669403   0.0   0.0002255   45.1535869   0.0   22.5491737   15.0327825   7.06e-05   44.8912872   0.0   0.0002247   45.0423214   0.0   
00104   45.5044835   0.0   0.0002277   45.5919713   0.0   22.7680977   15.1787318   7.13e-05   45.3271249   0.0   0.0002269   45.4796255   0.0   
00105   45.9420266   0.0   0.0002299   46.0303556   0.0   22.9870217   15.3246811   7.19e-05   45.7629627   0.0   0.0002291   45.9169296   0.0   
00106   46.3795697   0.0   0.000232   46.4687399   0.0   23.2059457   15.4706304   7.26e-05   46.1988004   0.0   0.0002313   46.3542336   0.0   
00107   46.8171128   0.0   0.0002342   46.9071243   0.0   23.4248697   15.6165798   7.33e-05   46.6346382   0.0   0.0002335   46.7915377   0.0   
00108   47.2546559   0.0   0.0002364   47.3455086   0.0   23.6437937   15.7625292   7.4e-05   47.0704759   0.0   0.0002356   47.2288418   0.0   
00109   47.692199   0.0   0.0002386   47.783893   0.0   23.8627177   15.9084785   7.47e-05   47.5063136   0.0   0.0002378   47.6661459   0.0   
00110   48.1297421   0.0   0.0002408   48.2222773   0.0   24.0816418   16.0544278   7.54e-05   47.9421514   0.0   0.00024   48.10345   0.0   
00111   48.5672852   0.0   0.000243   48.6606616   0.0   24.3005658   16.2003772   7.61e-05   48.3779891   0.0   0.0002422   48.5407541   0.0   
00112   49.0048283   0.0   0.0002452   49.099046   0.0   24.5194898   16.3463265   7.67e-05   48.8138269   0.0   0.0002444   48.9780582   0.0   
00113   49.4423714   0.0   0.0002474   49.5374303   0.0   24.7384138   16.4922759   7.74e-05   49.2496646   0.0   0.0002466   49.4153623   0.0   
00114   49.8799145   0.0   0.0002496   49.9758147   0.0   24.9573379   16.6382252   7.81e-05   49.6855023   0.0   0.0002487   49.8526663   0.0   
00115   50.3174577   0.0   0.0002517   50.414199   0.0   25.1762619   16.7841746   7.88e-05   50.1213401   0.0   0.0002509   50.2899705   0.0   
00116   50.7550008   0.0   0.0002539   50.8525833   0.0   25.3951859   16.9301239   7.95e-05   50.5571778   0.0   0.0002531   50.7272746   0.0   
00117   51.1925439   0.0   0.0002561   51.2909677   0.0   25.6141099   17.0760733   8.02e-05   50.9930156   0.0   0.0002553   51.1645786   0.0   
00118   51.630087   0.0   0.0002583   51.729352   0.0   25.8330339   17.2220226   8.09e-05   51.4288533   0.0   0.0002575   51.6018828   0.0   
00119   52.0676301   0.0   0.0002605   52.1677364   0.0   26.051958   17.367972   8.15e-05   51.864691   0.0   0.0002596   52.0391869   0.0   
00120   52.5051732   0.0   0.0002627   52.6061207   0.0   26.2708819   17.5139213   8.22e-05   52.3005288   0.0   0.0002618   52.4764909   0.0   
00121   52.9427163   0.0   0.0002649   53.044505   0.0   26.4898059   17.6598706   8.29e-05   52.7363666   0.0   0.000264   52.913795   0.0   
00122   53.3802594   0.0   0.0002671   53.4828894   0.0   26.70873   17.80582   8.36e-05   53.1722043   0.0   0.0002662   53.3510992   0.0   
00123   53.8178026   0.0   0.0002693   53.9212737   0.0   26.927654   17.9517693   8.43e-05   53.608042   0.0   0.0002684   53.7884032   0.0   
00124   54.2553457   0.0   0.0002714   54.3596581   0.0   27.146578   18.0977187   8.5e-05   54.0438797   0.0   0.0002706   54.2257073   0.0   
00125   54.6928888   0.0   0.0002736   54.7980424   0.0   27.365502   18.243668   8.56e-05   54.4797175   0.0   0.0002727   54.6630113   0.0   
00126   55.1304319   0.0   0.0002758   55.2364267   0.0   27.584426   18.3896173   8.63e-05   54.9155553   0.0   0.0002749   55.1003155   0.0   
00127   55.567975   0.0   0.000278   55.6748111   0.0   27.80335   18.5355667   8.7e-05   55.351393   0.0   0.0002771   55.5376196   0.0   
00128   56.0055181   0.0   0.0002802   56.1131954   0.0   28.0222741   18.681516   8.77e-05   55.7872307   0.0   0.0002793   55.9749237   0.0   
00129   56.4430612   0.0   0.0002824   56.5515798   0.0   28.241198   18.8274654   8.84e-05   56.2230684   0.0   0.0002815   56.4122278   0.0   
00130   56.8806043   0.0   0.0002846   56.9899641   0.0   28.4601221   18.9734147   8.91e-05   56.6589061   0.0   0.0002836   56.8495318   0.0   
00131   57.3181474   0.0   0.0002868   57.4283484   0.0   28.6790462   19.1193641   8.98e-05   57.0947439   0.0   0.0002858   57.2868359   0.0   
00132   57.7556905   0.0   0.000289   57.8667328   0.0   28.8979701   19.2653134   9.04e-05   57.5305816   0.0   0.000288   57.72414   0.0   
00133   58.1932337   0.0   0.0002912   58.3051171   0.0   29.1168942   19.4112628   9.11e-05   57.9664194   0.0   0.0002902   58.1614441   0.0   
00134   58.6307768   0.0   0.0002933   58.7435014   0.0   29.3358182   19.5572121   9.18e-05   58.4022572   0.0   0.0002924   58.5987482   0.0   
00135   59.0683199   0.0   0.0002955   59.1818858   0.0   29.5547422   19.7031614   9.25e-05   58.8380949   0.0   0.0002946   59.0360523   0.0   
00136   59.505863   0.0   0.0002977   59.6202701   0.0   29.7736662   19.8491108   9.32e-05   59.2739326   0.0   0.0002967   59.4733564   0.0   
00137   59.9434061   0.0   0.0002999   60.0586545   0.0   29.9925902   19.9950601   9.39e-05   59.7097703   0.0   0.0002989   59.9106605   0.0   
00138   60.3809492   0.0   0.0003021   60.4970388   0.0   30.2115143   20.1410095   9.46e-05   60.1456081   0.0   0.0003011   60.3479645   0.0   
00139   60.8184923   0.0   0.0003043   60.9354231   0.0   30.4304382   20.2869588   9.52e-05   60.5814459   0.0   0.0003033   60.7852686   0.0   
00140   61.2560354   0.0   0.0003065   61.3738075   0.0   30.6493622   20.4329082   9.59e-05   61.0172836   0.0   0.0003055   61.2225728   0.0   
00141   61.6935785   0.0   0.0003087   61.8121918   0.0   30.8682862   20.5788575   9.66e-05   61.4531213   0.0   0.0003076   61.6598768   0.0   
00142   62.1311216   0.0   0.0003109   62.2505762   0.0   31.0872104   20.7248069   9.73e-05   61.8889591   0.0   0.0003098   62.0971809   0.0   
00143   62.5686647   0.0   0.000313   62.6889605   0.0   31.3061343   20.8707562   9.8e-05   62.3247969   0.0   0.000312   62.534485   0.0   
